im,lambda_im
0.001,0.05
0.001079801,0.05
0.00116597,0.05
0.001259016,0.05
0.001359487,0.05
0.001467975,0.05
0.001585121,0.05
0.001711615,0.05
0.001848204,0.05
0.001995693,0.05
0.002154951,0.05
0.002326918,0.049999999
0.002512609,0.049999999
0.002713117,0.049999997
0.002929627,0.049999994
0.003163414,0.049999987
0.003415858,0.049999973
0.003688447,0.049999945
0.003982789,0.049999889
0.004300619,0.049999782
0.004643813,0.049999581
0.005014394,0.04999921
0.005414548,0.049998541
0.005846635,0.04999736
0.006313202,0.049995317
0.006817002,0.049991859
0.007361006,0.049986128
0.007948422,0.049976826
0.008582714,0.049962046
0.009267624,0.049939045
0.010007189,0.049903994
0.010805773,0.049851679
0.011668085,0.049775202
0.01259921,0.049665694
0.01360464,0.049512082
0.014690305,0.049300977
0.015862606,0.049016718
0.017128459,0.048641638
0.018495327,0.048156593
0.019971273,0.047541772
0.021565002,0.046777776
0.023285911,0.045846922
0.025144151,0.04473467
0.02715068,0.043431072
0.029317332,0.041932066
0.031656885,0.040240493
0.034183137,0.038366676
0.036910987,0.036328475
0.039856521,0.034150779
0.043037113,0.031864432
0.046471519,0.029504703
0.050179994,0.027109427
0.054184409,0.024716986
0.058508381,0.022364328
0.06317741,0.020085197
0.068219032,0.017908706
0.073662981,0.015858355
0.079541363,0.013951524
0.085888846,0.012199424
0.092742864,0.010607449
0.10014384,0.009175826
0.108135421,0.007900474
0.116764739,0.006773949
0.126082686,0.005786397
0.136144214,0.004926439
0.147008663,0.004181934
0.158740105,0.003540599
0.171407729,0.002990486
0.185086242,0.002520313
0.199856315,0.002119672
0.215805055,0.001779141
0.23302652,0.001490315
0.251622277,0.001245789
0.271701994,0.001039098
0.293384093,0.000864643
0.316796445,0.000717604
0.342077128,0.000593848
0.369375235,0.000489847
0.398851759,0.000402598
0.43068054,0.000329545
0.465049291,0.00026852
0.502160703,0.000217683
0.542233644,0.000175472
0.585504448,0.000140559
0.632228305,0.000111815
0.682680775,8.82744592427963e-05
0.737159404,6.91150373044643e-05
0.795985484,5.36303153811853e-05
0.859505945,4.12142659388887e-05
0.928095405,3.1346271191949e-05
1.002158374,2.35793746149071e-05
1.082131644,1.7530785128225e-05
1.168486864,1.28741130601395e-05
1.261733319,9.33287420074566e-06
1.362420937,6.67487504051842e-06
1.471143531,4.70718178205709e-06
1.5885423,3.27146869982854e-06
1.715309611,2.2396282698352e-06
1.852193084,1.50959805555399e-06
2,1.00141231896129e-06